Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3563000000,mg/m3,2016-01-01 00:00:00 +01:00,2016-01-01 01:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3607000000,mg/m3,2016-01-01 01:00:00 +01:00,2016-01-01 02:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3087000000,mg/m3,2016-01-01 02:00:00 +01:00,2016-01-01 03:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3152000000,mg/m3,2016-01-01 03:00:00 +01:00,2016-01-01 04:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3045000000,mg/m3,2016-01-01 04:00:00 +01:00,2016-01-01 05:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3026000000,mg/m3,2016-01-01 05:00:00 +01:00,2016-01-01 06:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2871000000,mg/m3,2016-01-01 06:00:00 +01:00,2016-01-01 07:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3169000000,mg/m3,2016-01-01 07:00:00 +01:00,2016-01-01 08:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.4000000000,mg/m3,2016-01-01 08:00:00 +01:00,2016-01-01 09:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.4466000000,mg/m3,2016-01-01 09:00:00 +01:00,2016-01-01 10:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.4388000000,mg/m3,2016-01-01 10:00:00 +01:00,2016-01-01 11:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.4643000000,mg/m3,2016-01-01 11:00:00 +01:00,2016-01-01 12:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3679000000,mg/m3,2016-01-01 12:00:00 +01:00,2016-01-01 13:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3014000000,mg/m3,2016-01-01 13:00:00 +01:00,2016-01-01 14:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2654000000,mg/m3,2016-01-01 14:00:00 +01:00,2016-01-01 15:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2888000000,mg/m3,2016-01-01 15:00:00 +01:00,2016-01-01 16:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3499000000,mg/m3,2016-01-01 16:00:00 +01:00,2016-01-01 17:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3469000000,mg/m3,2016-01-01 17:00:00 +01:00,2016-01-01 18:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3407000000,mg/m3,2016-01-01 18:00:00 +01:00,2016-01-01 19:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3113000000,mg/m3,2016-01-01 19:00:00 +01:00,2016-01-01 20:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3950000000,mg/m3,2016-01-01 20:00:00 +01:00,2016-01-01 21:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3729000000,mg/m3,2016-01-01 21:00:00 +01:00,2016-01-01 22:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3925000000,mg/m3,2016-01-01 22:00:00 +01:00,2016-01-01 23:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3717000000,mg/m3,2016-01-01 23:00:00 +01:00,2016-01-02 00:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3298000000,mg/m3,2016-01-02 00:00:00 +01:00,2016-01-02 01:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2959000000,mg/m3,2016-01-02 01:00:00 +01:00,2016-01-02 02:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2909000000,mg/m3,2016-01-02 02:00:00 +01:00,2016-01-02 03:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2833000000,mg/m3,2016-01-02 03:00:00 +01:00,2016-01-02 04:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2752000000,mg/m3,2016-01-02 04:00:00 +01:00,2016-01-02 05:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2810000000,mg/m3,2016-01-02 05:00:00 +01:00,2016-01-02 06:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2791000000,mg/m3,2016-01-02 06:00:00 +01:00,2016-01-02 07:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2641000000,mg/m3,2016-01-02 07:00:00 +01:00,2016-01-02 08:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2771000000,mg/m3,2016-01-02 08:00:00 +01:00,2016-01-02 09:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2898000000,mg/m3,2016-01-02 09:00:00 +01:00,2016-01-02 10:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2883000000,mg/m3,2016-01-02 10:00:00 +01:00,2016-01-02 11:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3017000000,mg/m3,2016-01-02 11:00:00 +01:00,2016-01-02 12:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3063000000,mg/m3,2016-01-02 12:00:00 +01:00,2016-01-02 13:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3162000000,mg/m3,2016-01-02 13:00:00 +01:00,2016-01-02 14:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3197000000,mg/m3,2016-01-02 14:00:00 +01:00,2016-01-02 15:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3167000000,mg/m3,2016-01-02 15:00:00 +01:00,2016-01-02 16:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3229000000,mg/m3,2016-01-02 16:00:00 +01:00,2016-01-02 17:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3449000000,mg/m3,2016-01-02 17:00:00 +01:00,2016-01-02 18:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3619000000,mg/m3,2016-01-02 18:00:00 +01:00,2016-01-02 19:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3664000000,mg/m3,2016-01-02 19:00:00 +01:00,2016-01-02 20:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.4008000000,mg/m3,2016-01-02 20:00:00 +01:00,2016-01-02 21:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3990000000,mg/m3,2016-01-02 21:00:00 +01:00,2016-01-02 22:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3831000000,mg/m3,2016-01-02 22:00:00 +01:00,2016-01-02 23:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3591000000,mg/m3,2016-01-02 23:00:00 +01:00,2016-01-03 00:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3358000000,mg/m3,2016-01-03 00:00:00 +01:00,2016-01-03 01:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.3040000000,mg/m3,2016-01-03 01:00:00 +01:00,2016-01-03 02:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2646000000,mg/m3,2016-01-03 02:00:00 +01:00,2016-01-03 03:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2515000000,mg/m3,2016-01-03 03:00:00 +01:00,2016-01-03 04:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2299000000,mg/m3,2016-01-03 04:00:00 +01:00,2016-01-03 05:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2051000000,mg/m3,2016-01-03 05:00:00 +01:00,2016-01-03 06:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1890000000,mg/m3,2016-01-03 06:00:00 +01:00,2016-01-03 07:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1819000000,mg/m3,2016-01-03 07:00:00 +01:00,2016-01-03 08:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1847000000,mg/m3,2016-01-03 08:00:00 +01:00,2016-01-03 09:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1978000000,mg/m3,2016-01-03 09:00:00 +01:00,2016-01-03 10:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2079000000,mg/m3,2016-01-03 10:00:00 +01:00,2016-01-03 11:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2023000000,mg/m3,2016-01-03 11:00:00 +01:00,2016-01-03 12:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2066000000,mg/m3,2016-01-03 12:00:00 +01:00,2016-01-03 13:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2130000000,mg/m3,2016-01-03 13:00:00 +01:00,2016-01-03 14:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2117000000,mg/m3,2016-01-03 14:00:00 +01:00,2016-01-03 15:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2317000000,mg/m3,2016-01-03 15:00:00 +01:00,2016-01-03 16:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2146000000,mg/m3,2016-01-03 16:00:00 +01:00,2016-01-03 17:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2050000000,mg/m3,2016-01-03 17:00:00 +01:00,2016-01-03 18:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2009000000,mg/m3,2016-01-03 18:00:00 +01:00,2016-01-03 19:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2044000000,mg/m3,2016-01-03 19:00:00 +01:00,2016-01-03 20:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2036000000,mg/m3,2016-01-03 20:00:00 +01:00,2016-01-03 21:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2062000000,mg/m3,2016-01-03 21:00:00 +01:00,2016-01-03 22:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1992000000,mg/m3,2016-01-03 22:00:00 +01:00,2016-01-03 23:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2042000000,mg/m3,2016-01-03 23:00:00 +01:00,2016-01-04 00:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1986000000,mg/m3,2016-01-04 00:00:00 +01:00,2016-01-04 01:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1894000000,mg/m3,2016-01-04 01:00:00 +01:00,2016-01-04 02:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1916000000,mg/m3,2016-01-04 02:00:00 +01:00,2016-01-04 03:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1874000000,mg/m3,2016-01-04 03:00:00 +01:00,2016-01-04 04:00:00 +01:00,1,1
NL,NL.RIVM.AQ,NET-NL049A,STA-NL00014,NL00014,SPO-NL00014_00010_100,SPP-NL_A_IR-GFC_06003,SPO_F-NL00014_00010_100_100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1878000000,mg/m3,2016-01-04 04:00:00 +01:00,2016-01-04 05:00:00 +01:00,1,1
