year,month number,month,temperature
2005,8,august,23.0
2005,9,september,20.7
2005,10,october,17.9
2005,11,november,11.1
2005,12,december,6.6
2006,1,january,7.4
2006,2,february,8.5
2006,3,march,12.0
2006,4,april,15.1
2006,5,may,18.7
2006,6,june,22.1
2006,7,july,27.1
2006,8,august,22.8
2006,9,september,21.6
2006,10,october,18.8
2006,11,november,14.6
2006,12,december,10.0
2007,1,january,9.9
2007,2,february,11.4
2007,3,march,12.1
2007,4,april,15.0
2007,5,may,17.9
2007,6,june,22.0
2007,7,july,23.6
2007,8,august,22.5
2007,9,september,20.6
2007,10,october,16.4
2007,11,november,11.2
2007,12,december,8.8
2008,1,january,10.1
2008,2,february,10.2
2008,3,march,10.8
2008,4,april,13.7
2008,5,may,16.6
2008,6,june,20.7
2008,7,july,23.8
2008,8,august,24.3
2008,9,september,20.7
2008,10,october,16.5
2008,11,november,10.3
2008,12,december,7.5
2009,1,january,7.2
2009,2,february,8.7
2009,3,march,11.2
2009,4,april,13.1
2009,5,may,18.8
2009,6,june,23.0
2009,7,july,24.4
2009,8,august,26.3
2009,9,september,21.5
2009,10,october,17.9
2009,11,november,13.5
2009,12,december,9.0
2010,1,january,6.6
2010,2,february,8.0
2010,3,march,9.6
2010,4,april,14.1
2010,5,may,15.4
2010,6,june,20.3
2010,7,july,25.7
2010,8,august,24.3
2010,9,september,20.9
2010,10,october,16.2
2010,11,november,11.0
2010,12,december,8.5
2011,1,january,8.4
2011,2,february,10.0
2011,3,march,10.9
2011,4,april,15.9
2011,5,may,18.3
2011,6,june,19.5
2011,7,july,21.2
2011,8,august,24.1
2011,9,september,22.9
2011,10,october,19.1
2011,11,november,14.1
2011,12,december,10.2
2012,1,january,9.4
2012,2,february,6.8
2012,3,march,13.4
2012,4,april,12.6
2012,5,may,17.9
2012,6,june,22.3
2012,7,july,23.2
2012,8,august,26.0
2012,9,september,21.4
2012,10,october,17.3
2012,11,november,12.7
2012,12,december,9.9
2013,1,january,9.1
2013,2,february,7.7
2013,3,march,11.2
2013,4,april,13.5
2013,5,may,14.6
2013,6,june,19.5
2013,7,july,25.6
2013,8,august,24.9
2013,9,september,22.0
2013,10,october,19.5
2013,11,november,12.2
2013,12,december,10.1
2014,1,january,9.8
2014,2,february,10.1
2014,3,march,12.3
2014,4,april,15.3
2014,5,may,16.2
2014,6,june,21.7
2014,7,july,22.6
2014,8,august,23.0
2014,9,september,22.0
2014,10,october,19.6
2014,11,november,13.6
2014,12,december,9.1
2015,1,january,9.1
2015,2,february,8.2
2015,3,march,12.0
2015,4,april,14.8
2015,5,may,19.1
2015,6,june,23.2
2015,7,july,26.0
2015,8,august,23.5
2015,9,september,19.7
2015,10,october,16.7
2015,11,november,14.3
2015,12,december,12.6
2016,1,january,10.7
2016,2,february,11.3
2016,3,march,11.1
2016,4,april,13.6
2016,5,may,16.4
2016,6,june,21.6
2016,7,july,24.9
2016,8,august,24.5
2016,9,september,22.3
2016,10,october,17.1
2016,11,november,12.7
2016,12,december,11.5
2017,1,january,7.9
2017,2,february,11.4
2017,3,march,13.3
2017,4,april,14.2
2017,5,may,18.3
2017,6,june,23.6
2017,7,july,24.2
2017,8,august,24.5
2017,9,september,19.5
2017,10,october,18.6
2017,11,november,12.5
2017,12,december,8.5
2018,1,january,10.5
2018,2,february,6.7
2018,3,march,10.8
2018,4,april,14.7
2018,5,may,17.1
2018,6,june,21.5
2018,7,july,25.3
2018,8,august,25.8
2018,9,september,22.5
2018,10,october,17.0
2018,11,november,12.4
2018,12,december,11.1
2019,1,january,8.1
2019,2,february,11.9
2019,3,march,13.5
2019,4,april,13.4
2019,5,may,15.6
2019,6,june,21.9
2019,7,july,25.4
2019,8,august,25.1
2019,9,september,21.8
2019,10,october,18.5
2019,11,november,11.9
2019,12,december,11.2
2020,1,january,10.0
2020,2,february,12.8
2020,3,march,11.9
2020,4,april,14.3
2020,5,may,19.4
2020,6,june,20.1
2020,7,july,25.0
2020,8,august,25.5
2020,9,september,21.7
2020,10,october,16.4
2020,11,november,14.7
2020,12,december,9.3
2021,1,january,7.7
2021,2,february,11.6
2021,3,march,12.1
2021,4,april,12.9
2021,5,may,17.3
2021,6,june,23.3
2021,7,july,24.8
2021,8,august,24.5
2021,9,september,23.0
2021,10,october,18.1
2021,11,november,11.3
2021,12,december,10.9
